Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Impresiones,Tasa de clics de las impresiones (%)
Koao7Pp7CwI,💎 Un Experto - Cuento de la Parashá Kedoshim | Torah Kids Puppets,"Dec 13, 2025",315,131,4.775,0,1607,5.66
7LN0uQYABmU,Torah Kids Puppets | Parashat 28 Metzora - פרשת כח מצורע,"Aug 19, 2024",456,131,6.1237,2,2478,2.91
Bd4lU_MYILU,Torah Kids Puppets | Parashat 21 Ki Tisá - פרשת כא כי תשא,"Apr 3, 2024",439,130,6.8541,0,1966,4.02
 -ORflM1R4H4,Torah Kids Puppets | Parashat 27 Tazria - פרשת כז תזריע,"Aug 15, 2024",292,129,4.8441,3,2197,3.82
uhGShtqf3l0,Torah Kids Puppets | Parsha en un minuto 25 Tzav #tora#aprendizajedivertido#niñosfelices#funny,"May 26, 2024",53,128,0.679,1,2192,2.05
s4k_OBr2-aY,La travesía de Eliezer: La búsqueda de la esposa perfecta para Isaac,"Nov 18, 2024",89,123,0.7698,0,1324,4
u5Xln4-oUMw,Torah Kids Puppets | ¡El Increíble Anuncio a Abraham: El Nacimiento de isaac!,"Nov 16, 2024",38,120,0.6943,0,2314,1.38
EuWL4xrCQy0,¿Cómo una niña de 3 años salvó al pueblo judío? 👧✨ | La profecía de Miriam,"Apr 3, 2026",325,120,4.1623,0,1856,4.36
6YoVDp5Jeqs,Torah Kids Puppets | Estudiemos las Parashot - El Resumen de la Parashat con el Doc 2 Nóaj,"Nov 2, 2021",417,117,5.8099,0,2748,2.91
IFzPSegUYO4,Torah Kids Puppets | Parsha en un minuto 15 Bo #tora #aprendizajedivertido  #niñosfelices  #funny,"Mar 11, 2024",44,116,0.7456,0,1663,1.56
FnzQmTU-2jU,¿Por qué Moshé no podía hablar bien? 💎🔥 | La prueba de fuego | Sipurei Pesaj Ep.3,"Apr 4, 2026",165,104,1.8543,0,547,7.31
MwNi34vieEQ,Torah Kids Puppets | Parsha en un minuto 26 Sheminí #tora#aprendizajedivertido#niñosfelices#funny,"Jun 30, 2024",52,104,0.9291,0,1521,2.1
X6Y4-b4CG4M,Torah Kids Puppets | Parsha en un minuto 20 Tetzaveh #tora#aprendizajedivertido#niñosfelices#funny,"Mar 17, 2024",48,101,0.6848,0,1865,1.39
SOdBWtfb2hE,Torah Kids Puppets | Parsha en un minuto 18 Mishapatim #tora#aprendizajedivertido#niñosfelices#funny,"Mar 17, 2024",52,100,0.5513,1,1447,2.7
3qsxRzFfggg,Torah Kids Puppets | Parsha en un minuto 19 Terumah #tora#aprendizajedivertido#niñosfelices#funny,"Mar 17, 2024",48,96,0.4466,2,2619,0.84
IlGe5gPb-ss,La promesa de Di-s a Abraham: El viaje a Canaan #aventurasbíblicas #lasbellashistoriasdelabiblia,"Nov 10, 2024",21,95,0.2996,1,2209,1.18
hccDm7RF-Ls,Torah Kids Puppets | Parshá Especial - Shabat Shekalim #tora#aprendizajedivertido#niñosfelices#funny,"Mar 1, 2025",130,95,0.6749,0,926,1.62
J_h86yuU4Vo,Torah Kids Puppets | Parsha Pará #tora#aprendizajedivertido#niñosfelices#funny,"Jun 4, 2024",57,92,2.8483,10,1014,1.87
tWHKCkFBjvE,Torah Kids Puppets | Parsha en un minuto 16 Beshalaj #tora#aprendizajedivertido#niñosfelices#funny,"Mar 11, 2024",47,86,0.4392,2,1661,1.93
Yja7jteJ3d4,Torah Kids Puppets | Parshá Especial - Shabat Zajor #tora#aprendizajedivertido#niñosfelices#Purim,"Mar 7, 2025",70,85,0.8629,0,766,1.7
YHOHnafmPOg,La prueba de Fe: Sacrificio de Abraham e Isaac - Akedat Izjak,"Nov 18, 2024",80,82,0.5598,3,1515,2.05
81122QbTN70,Torah Kids Puppets | Parashat Va'Yikrá | פרשת ויקרא,"Mar 21, 2021",461,81,3.8969,1,596,6.04
2tNGQiZqfdQ,La sorprendente Historia de Noah contada por marionetas,"Nov 3, 2024",29,76,0.2392,2,1381,1.38
irjPXPav8dY,Torah Kids Puppets | Sukot Trailer 🌴🍋 🌿,"Sep 21, 2021",120,74,1.4387,0,1046,3.92
1ieTbEKPlRs,Torah Kids Puppets | Parsha en un minuto 17 Itró #tora#aprendizajedivertido#niñosfelices#funny,"Mar 12, 2024",45,73,0.4177,2,1822,2.25
RzqvBDyrt2g,¡La espada de Faraón se ROMPIÓ! ⚔️😲 | El milagro de Moshé | Sipurei Pesaj Ep.4,"Apr 9, 2026",170,71,1.3726,1,648,6.02
SlWuko2q-Y0,Torah Kids Puppets | Parshá Especial - Shabat Shekalim #tora#aprendizajedivertido#niñosfelices#funny,"Mar 24, 2024",59,68,0.8114,0,1579,2.85
BXHfjgtmiic,El pacto entre las partes Legado de Abraham #aventurasbíblicas #lasbellashistoriasdelabiblia #shorts,"Nov 10, 2024",34,64,0.3044,0,1463,1.16
LWITMNQEWTo,Torah Kids Puppets | Parshá Especial - Shabat Zajor #tora#aprendizajedivertido#niñosfelices#Purim,"Mar 24, 2024",60,64,0.708,2,1216,2.3
CblSXOlt6Vw,Rosh Ha'Shana Abib | Torah Kids Puppets | ראש השנה אביב 🍎🍯,"Mar 16, 2021",250,57,2.1238,0,435,6.21
dd8Bz3RAkgQ,"Torah Kids Puppets | ¿De que trata la Toráh, Qué es? y ¿Qué es el Tanaj? | 📜 📖","Aug 15, 2021",1677,56,4.9988,0,521,5.95
X9IApkMzbSw,Torah Kids Puppets | Parashat Tzav | פרשת צו,"Jun 11, 2021",880,54,2.9901,3,375,4.8
X2ACDIpXbI8,Rosh Jodesh Abib o Aviv | Torah Kids Puppets | ראש חודש אביב 🌒🌙🌼,"Mar 16, 2021",295,41,1.8656,1,193,14.51
E2MMP25jCJU,Torah Kids Puppets | Visita Nuestro Sitio Web,"Oct 15, 2021",57,21,0.2033,0,449,3.56
rP9CG-5NV1o,El Milagroso Aceite de Janucá,"Dec 15, 2025",77,4,0.0342,0,5,20
